ID,londdist,International,local,pagamento,tipo_fatura,plano,idade,sexo,estado_civil,n_filhos,salario,carro,churn
326,15.328,0.000,5.118,conta_corrente,via_email,padrao,26,M,S,2,8172.8,N,Current
330,14.990,0.000,24.057,cartao_credito,boleto,padrao,55,F,M,0,79771.3,Y,Vol
332,20.141,0.000,28.692,debito em conta,boleto,padrao,58,F,M,0,91446.4,Y,Current
334,5.663,0.000,10.198,debito em conta,via_email,padrao,36,F,M,2,96283.6,N,Current
335,27.369,0.205,48.900,conta_corrente,boleto,desconto internacional,19,F,S,1,24896.1,N,Vol
336,18.611,0.000,33.543,cartao_credito,via_email,padrao,91,M,M,1,16785.9,N,Current
340,0.000,0.000,0.985,conta_corrente,boleto,padrao,68,M,M,0,10421.7,N,Current
348,24.892,0.000,65.567,cartao_credito,boleto,padrao,42,F,M,0,18199.7,N,Vol
350,0.000,0.000,4.390,conta_corrente,boleto,padrao,90,M,M,1,5257.65,N,InVol
352,27.113,0.000,5.997,conta_corrente,via_email,desconto internacional,47,F,M,2,56816.4,N,Vol
356,3.100,0.000,6.433,cartao_credito,via_email,padrao,65,M,M,0,30057.4,Y,Current
357,0.000,0.000,1.923,conta_corrente,via_email,padrao,26,M,M,2,52266.3,N,InVol
363,8.355,0.000,90.651,debito em conta,via_email,desconto internacional,59,F,M,1,50290.7,N,Vol
369,21.084,9.424,6.385,conta_corrente,via_email,desconto internacional,55,M,S,2,50050.5,N,Vol
379,18.906,0.000,23.286,cartao_credito,boleto,padrao,39,F,S,1,46638.5,N,Current
386,0.000,0.000,0.817,cartao_credito,boleto,desconto internacional,86,M,M,1,87073.1,N,InVol
387,27.773,0.000,91.095,cartao_credito,boleto,desconto internacional,94,F,S,2,42983.3,N,Current
388,24.035,0.000,48.056,cartao_credito,boleto,desconto internacional,84,F,S,2,32964.2,N,Current
390,0.000,0.000,3.538,cartao_credito,boleto,desconto internacional,81,M,S,2,3714.96,N,InVol
393,11.028,0.000,87.333,cartao_credito,via_email,desconto internacional,62,F,M,1,63314.6,N,Vol
394,7.516,7.352,25.211,conta_corrente,via_email,padrao,22,F,M,0,42877.2,N,Vol
396,4.506,0.000,16.355,cartao_credito,via_email,padrao,83,F,S,1,78854.9,N,Vol
398,1.771,0.000,98.707,cartao_credito,boleto,padrao,29,M,S,0,49127.2,N,Current
400,15.918,0.000,6.322,debito em conta,via_email,desconto internacional,44,M,M,2,57430.5,N,Current
401,1.808,0.000,38.347,cartao_credito,via_email,desconto internacional,58,M,S,0,56286.8,N,Current
402,26.780,0.000,40.467,cartao_credito,via_email,padrao,63,F,S,1,83977.6,N,Vol
407,20.323,0.000,90.702,conta_corrente,via_email,padrao,22,F,S,2,80571.6,Y,Current
409,0.000,0.000,3.475,cartao_credito,via_email,padrao,94,F,M,2,78994.1,N,InVol
412,1.560,9.030,15.178,cartao_credito,via_email,padrao,53,M,M,1,18672,Y,Vol
413,25.421,0.000,56.086,conta_corrente,via_email,desconto internacional,34,F,S,0,91147.5,N,Current
415,23.086,0.000,38.287,cartao_credito,via_email,padrao,40,F,M,1,21126.7,N,Vol
424,11.685,0.216,43.557,conta_corrente,boleto,padrao,29,F,S,0,73032.9,N,Current
427,13.201,0.000,35.130,cartao_credito,boleto,padrao,50,M,S,2,48882.6,N,Current
430,12.438,0.000,16.617,debito em conta,via_email,padrao,18,F,M,1,57549.5,N,Current
431,19.286,0.000,10.778,cartao_credito,via_email,desconto internacional,57,F,M,0,81576.2,N,Vol
433,24.287,0.000,13.727,debito em conta,via_email,padrao,62,M,S,2,49059.4,N,Current
442,26.281,0.000,71.925,cartao_credito,boleto,desconto internacional,55,F,S,0,95489.4,Y,Vol
448,12.869,0.000,92.854,cartao_credito,boleto,padrao,29,M,S,2,35235.9,N,Vol
454,11.451,0.000,42.864,debito em conta,boleto,padrao,69,M,M,2,30901.3,N,Current
458,0.086,0.000,7.437,debito em conta,boleto,desconto internacional,95,M,M,2,92855.3,N,Current
463,0.000,0.000,3.623,debito em conta,via_email,padrao,37,F,M,1,25541.8,N,InVol
469,26.055,0.000,59.615,cartao_credito,via_email,padrao,75,F,S,1,50290.7,N,Vol
471,12.499,0.000,74.929,cartao_credito,via_email,padrao,55,F,M,2,7394.15,N,Current
474,28.747,0.000,18.657,cartao_credito,via_email,padrao,67,M,M,2,37168.9,N,Current
481,3.605,0.000,11.149,conta_corrente,via_email,padrao,59,M,M,0,77177.1,N,Current
484,0.000,0.000,3.077,cartao_credito,boleto,padrao,77,F,S,2,79972.6,Y,InVol
498,26.303,0.000,7.622,cartao_credito,boleto,padrao,89,M,S,2,30059.6,N,Current
499,0.000,0.000,1.039,debito em conta,boleto,padrao,82,F,S,1,95877.7,N,InVol
507,6.733,0.000,36.363,cartao_credito,via_email,padrao,72,M,M,0,96188.2,N,Current
509,18.233,0.000,23.515,debito em conta,via_email,desconto internacional,59,M,M,2,35119.1,N,Current
518,11.193,0.000,75.597,cartao_credito,boleto,padrao,67,M,S,1,36415.3,Y,Current
521,2.684,0.000,17.128,debito em conta,boleto,padrao,58,F,M,1,1414.58,N,Current
524,15.331,0.798,39.695,conta_corrente,via_email,padrao,18,F,M,1,9929.4,Y,Current
527,10.800,0.000,42.794,cartao_credito,via_email,padrao,87,M,S,1,22718.6,N,Current
532,0.000,0.000,2.641,cartao_credito,via_email,padrao,82,M,M,2,30271.4,N,InVol
541,26.615,0.000,39.212,conta_corrente,boleto,padrao,49,M,M,1,62381.4,N,Current
543,16.855,0.000,134.435,conta_corrente,via_email,padrao,82,M,S,2,2271.11,N,Current
545,13.621,0.000,188.555,cartao_credito,via_email,padrao,91,F,M,1,82051.9,N,Vol
546,7.682,0.000,22.609,cartao_credito,boleto,padrao,57,M,M,1,57272.7,N,Current
549,0.000,0.000,4.742,conta_corrente,boleto,padrao,81,M,S,2,15669.3,Y,InVol
550,16.157,0.000,88.103,cartao_credito,boleto,padrao,31,F,S,2,85401.7,Y,Current
558,6.225,0.000,16.034,cartao_credito,via_email,desconto internacional,58,M,M,1,99619.9,Y,Current
564,2.263,0.000,49.945,debito em conta,boleto,desconto internacional,23,M,M,2,55371.8,N,Current
566,24.181,0.000,33.467,cartao_credito,via_email,padrao,48,F,M,0,24737.8,N,Current
567,15.630,4.081,59.144,cartao_credito,via_email,desconto internacional,80,M,M,0,50290.7,N,Current
568,0.000,0.000,0.932,cartao_credito,boleto,padrao,41,M,M,0,2645.1,Y,InVol
569,6.634,0.000,18.257,cartao_credito,boleto,padrao,39,F,S,2,83996.9,N,Current
572,15.335,0.000,61.857,cartao_credito,boleto,padrao,21,F,M,1,73138.8,Y,Current
577,5.257,0.000,32.047,cartao_credito,via_email,padrao,19,M,M,0,58979.3,Y,Current
578,6.761,0.000,25.009,conta_corrente,boleto,padrao,88,M,S,1,49176.2,N,Current
579,0.000,0.000,4.329,conta_corrente,via_email,desconto internacional,28,F,M,0,48631.3,N,InVol
586,0.000,0.000,4.092,conta_corrente,via_email,padrao,88,F,M,1,36970.2,N,InVol
589,4.641,1.765,68.626,cartao_credito,boleto,padrao,77,F,M,0,39516.3,N,Vol
591,28.921,0.000,28.713,debito em conta,via_email,padrao,76,M,M,2,24855.7,Y,Current
594,26.216,0.000,19.724,cartao_credito,via_email,desconto internacional,29,M,M,0,97996.9,N,Current
598,22.852,0.000,24.668,conta_corrente,boleto,desconto internacional,48,M,S,2,87381.8,N,Current
603,28.056,0.000,61.993,cartao_credito,via_email,padrao,38,F,M,2,81309.5,Y,Current
604,25.442,0.000,241.049,cartao_credito,via_email,desconto internacional,34,M,M,0,73834.9,Y,Current
611,0.000,0.000,1.186,cartao_credito,boleto,desconto internacional,48,F,S,2,60908.1,N,InVol
613,0.000,0.000,4.297,cartao_credito,via_email,padrao,87,F,S,0,21744.9,Y,InVol
619,6.550,0.000,130.343,cartao_credito,via_email,padrao,79,F,M,0,28021.4,Y,Current
621,14.400,0.000,20.970,cartao_credito,via_email,padrao,49,F,M,2,48334.1,N,Vol
623,12.949,0.000,17.625,debito em conta,boleto,padrao,93,M,M,0,60325.9,Y,Current
625,13.724,0.000,13.351,debito em conta,via_email,desconto internacional,72,M,S,0,21079.2,Y,Current
627,18.129,0.000,83.884,debito em conta,boleto,desconto internacional,85,M,S,1,75991.2,N,Current
628,0.000,0.000,2.015,cartao_credito,boleto,desconto internacional,70,F,S,1,64815.5,N,InVol
630,26.468,0.000,13.946,cartao_credito,via_email,padrao,34,F,M,2,24325.8,Y,Current
647,1.322,0.000,147.871,cartao_credito,via_email,padrao,54,F,S,1,61231.7,N,Vol
648,27.229,8.074,6.677,debito em conta,boleto,padrao,94,F,M,2,17964,N,Vol
649,0.000,0.000,0.049,cartao_credito,via_email,padrao,75,F,M,1,59251,Y,InVol
654,19.481,6.178,93.304,debito em conta,via_email,desconto internacional,82,F,S,1,80066.3,N,Vol
655,16.325,0.000,26.288,conta_corrente,via_email,padrao,37,M,M,0,43235.5,N,Current
656,0.000,0.000,4.148,conta_corrente,boleto,desconto internacional,40,F,S,0,56016,N,InVol
657,18.566,0.000,42.904,cartao_credito,via_email,padrao,65,M,M,0,50290.7,N,Current
659,14.766,0.000,101.051,cartao_credito,boleto,padrao,25,M,S,2,51268.5,Y,Current
661,17.795,0.000,12.565,cartao_credito,boleto,padrao,58,F,M,2,29597.1,N,Current
665,20.941,0.000,13.914,cartao_credito,boleto,padrao,73,M,S,2,73240.3,N,Current
668,6.189,9.159,105.295,debito em conta,via_email,padrao,40,F,M,0,15980.1,Y,Vol
669,28.644,0.000,9.822,cartao_credito,boleto,padrao,59,F,S,1,61205.6,N,Vol
670,22.528,0.000,38.359,cartao_credito,boleto,padrao,60,F,M,2,21380.9,N,Vol
672,14.135,0.000,7.713,debito em conta,via_email,padrao,67,M,S,0,88874,Y,Current
674,16.220,0.000,53.960,cartao_credito,boleto,padrao,43,M,M,1,35827.5,Y,Current
683,0.000,0.000,4.874,conta_corrente,boleto,padrao,19,M,M,0,76071.2,N,InVol
684,0.000,0.000,1.836,cartao_credito,via_email,desconto internacional,43,F,M,0,85205.1,Y,Vol
692,15.009,0.000,45.926,debito em conta,via_email,padrao,95,M,M,2,21213,N,Current
703,11.244,6.818,115.445,cartao_credito,boleto,desconto internacional,52,M,S,1,37809.7,Y,Vol
704,22.532,0.000,11.531,cartao_credito,boleto,padrao,93,M,S,1,68089.1,N,Current
709,0.000,0.000,0.843,conta_corrente,boleto,desconto internacional,22,M,S,1,15434.3,Y,Vol
710,28.803,0.000,142.430,cartao_credito,boleto,desconto internacional,73,F,S,0,92405.9,N,Current
715,5.200,0.000,51.568,cartao_credito,boleto,padrao,90,M,M,0,42248.7,N,Current
721,0.000,0.000,4.832,cartao_credito,boleto,padrao,59,M,S,0,60111.8,N,InVol
722,20.803,0.000,36.816,cartao_credito,via_email,padrao,55,F,M,0,28528,Y,Current
727,24.423,0.000,104.948,cartao_credito,boleto,padrao,83,M,M,2,85753.4,N,Current
729,20.606,0.000,18.221,conta_corrente,via_email,desconto internacional,37,M,S,1,28906.8,N,Current
739,0.000,0.000,0.084,cartao_credito,boleto,desconto internacional,51,F,M,1,62990.7,N,InVol
747,7.345,0.000,12.106,conta_corrente,via_email,desconto internacional,78,M,M,0,54864.6,N,Current
763,22.438,0.000,107.181,conta_corrente,via_email,padrao,25,M,M,2,40774.2,N,Current
765,26.871,0.000,6.607,conta_corrente,boleto,padrao,81,F,M,1,50613.1,Y,Vol
774,0.000,0.000,0.086,conta_corrente,boleto,desconto internacional,79,F,M,1,18442.8,N,InVol
779,7.431,0.000,89.514,conta_corrente,via_email,padrao,74,M,M,1,60015.1,N,Current
781,27.565,0.000,212.356,debito em conta,via_email,padrao,65,M,S,1,11520.3,N,Current
792,11.031,4.148,92.135,cartao_credito,via_email,padrao,57,M,S,2,26349.1,N,Current
795,29.306,0.012,54.823,cartao_credito,boleto,padrao,65,M,M,2,54370.8,N,Current
798,16.474,0.000,35.803,cartao_credito,boleto,padrao,55,M,M,2,50290.7,N,Current
800,7.814,0.000,33.169,debito em conta,boleto,padrao,89,F,S,2,79133,Y,Vol
803,14.206,0.000,25.159,cartao_credito,via_email,desconto internacional,61,F,S,2,54643.3,Y,Current
804,22.087,6.422,7.526,cartao_credito,via_email,desconto internacional,55,F,S,0,91646.6,Y,Vol
807,18.074,0.000,23.059,cartao_credito,boleto,padrao,42,F,M,1,79763.6,Y,Current
812,13.964,0.000,7.734,conta_corrente,via_email,desconto internacional,43,M,M,1,15425.3,Y,Current
813,7.041,3.507,99.394,cartao_credito,boleto,padrao,62,M,M,1,65619.8,Y,Vol
815,24.140,0.000,40.522,debito em conta,via_email,padrao,38,M,S,2,58087.5,N,Current
816,16.641,0.000,58.530,conta_corrente,via_email,desconto internacional,30,F,M,2,36740.7,N,Current
818,0.000,0.000,0.494,conta_corrente,via_email,desconto internacional,57,M,S,1,78255.3,N,InVol
827,28.748,6.326,64.696,cartao_credito,via_email,padrao,96,F,M,2,95394,N,Vol
834,1.677,0.000,89.080,cartao_credito,boleto,padrao,74,F,S,2,25754.9,N,Current
835,14.826,7.795,287.295,debito em conta,via_email,padrao,40,M,M,0,55714,N,Current
836,0.000,0.000,1.314,debito em conta,via_email,padrao,64,F,M,1,1433.72,N,InVol
844,8.290,0.000,8.243,conta_corrente,boleto,desconto internacional,65,F,S,0,36159,N,Current
848,22.093,0.000,15.166,conta_corrente,boleto,desconto internacional,56,M,M,1,24626,N,Current
849,25.653,0.813,81.738,conta_corrente,boleto,desconto internacional,69,F,M,0,49188.9,Y,Vol
856,22.345,0.000,38.721,debito em conta,via_email,desconto internacional,57,F,M,0,83165.7,N,Vol
858,13.640,0.000,16.207,debito em conta,via_email,desconto internacional,70,F,S,2,15080.4,N,Current
860,28.809,0.000,13.636,debito em conta,via_email,padrao,22,F,M,2,59699.5,N,Current
861,10.440,0.000,127.425,debito em conta,via_email,padrao,39,M,M,1,88474.7,Y,Current
863,16.345,0.000,15.246,cartao_credito,boleto,padrao,58,M,M,0,64789.8,N,Current
867,5.490,0.000,65.426,debito em conta,via_email,padrao,19,F,M,1,99261.8,Y,Current
868,5.810,0.000,11.482,cartao_credito,boleto,padrao,83,F,M,0,89344.4,N,Current
872,9.441,0.000,80.645,conta_corrente,via_email,padrao,82,F,S,1,79009.7,N,Current
873,0.000,0.000,0.911,cartao_credito,via_email,padrao,68,M,M,2,17060.3,Y,InVol
875,1.111,0.000,22.743,cartao_credito,boleto,padrao,96,M,S,0,83986.8,Y,Current
877,16.374,0.050,49.190,cartao_credito,via_email,padrao,48,M,S,1,98360.6,Y,Current
879,3.859,0.000,37.211,debito em conta,via_email,padrao,74,F,S,1,42002,N,Vol
880,16.609,0.000,50.694,cartao_credito,via_email,padrao,55,M,M,1,41334.1,N,Current
883,13.797,0.000,337.564,conta_corrente,boleto,padrao,69,F,M,2,28848.8,N,Current
887,9.519,0.000,66.098,cartao_credito,via_email,padrao,53,M,M,2,17246,Y,Current
888,3.225,0.000,35.931,cartao_credito,boleto,padrao,71,F,M,2,80667.4,N,Vol
891,28.192,0.000,93.635,conta_corrente,boleto,padrao,19,F,S,2,56438.9,N,Current
894,17.130,0.000,14.069,conta_corrente,boleto,desconto internacional,37,M,M,0,52355.1,Y,Current
897,24.092,0.000,32.929,cartao_credito,boleto,desconto internacional,75,M,M,0,99454.2,N,Current
910,1.015,0.000,57.990,conta_corrente,boleto,padrao,37,F,M,2,80869.8,N,Current
914,18.451,0.000,65.572,conta_corrente,boleto,padrao,38,F,M,1,50290.7,N,Current
918,25.987,0.000,26.699,conta_corrente,boleto,padrao,94,M,S,0,44927,N,Current
919,0.000,0.000,1.855,conta_corrente,via_email,padrao,63,M,S,0,37120,Y,InVol
920,20.585,0.000,50.330,cartao_credito,via_email,padrao,86,F,M,0,2530.76,Y,Current
921,14.755,0.000,71.142,cartao_credito,via_email,desconto internacional,54,F,M,2,19758.3,N,Current
926,9.786,8.798,72.624,cartao_credito,via_email,padrao,69,F,M,0,10250.1,N,Vol
931,4.832,0.000,56.652,cartao_credito,via_email,padrao,28,F,M,0,38450.2,Y,Current
934,5.380,8.833,33.588,debito em conta,via_email,padrao,70,M,S,2,66649.2,N,Current
942,0.000,0.000,1.747,cartao_credito,via_email,desconto internacional,48,F,M,0,83157.5,N,InVol
944,11.408,0.000,128.122,cartao_credito,boleto,desconto internacional,93,F,S,1,21395.2,Y,Vol
947,29.231,0.000,450.624,conta_corrente,boleto,padrao,78,F,S,2,72800.9,N,Vol
957,0.000,0.000,0.738,debito em conta,boleto,padrao,68,M,M,0,41486.4,Y,Current
958,12.214,0.000,52.966,debito em conta,boleto,desconto internacional,31,M,S,1,37832.6,Y,Current
961,0.000,0.000,2.553,cartao_credito,via_email,padrao,54,M,S,2,63959.2,N,InVol
963,17.658,0.000,71.074,cartao_credito,boleto,padrao,53,F,S,0,95584.5,N,Current
964,11.857,0.000,135.648,debito em conta,via_email,padrao,20,M,M,1,59632.9,Y,Current
965,0.653,6.870,5.491,debito em conta,boleto,desconto internacional,97,F,S,1,98860.1,N,Vol
967,0.000,0.000,3.735,cartao_credito,via_email,padrao,46,M,M,2,32811.6,N,InVol
971,23.244,1.049,34.099,debito em conta,boleto,padrao,61,M,M,1,83039.2,Y,Vol
972,14.046,4.429,114.323,cartao_credito,via_email,padrao,92,F,S,2,47396.2,N,Vol
